10  0.000548 638 2428  0.001270 650 2429
26  0.004584 860 2442  0.004564 948 2463
42  0.014923 1292 2739  0.014825 1516 2782
58  0.036759 1903 3230  0.037349 2330 5655
74  0.076884 2709 53773  0.074287 3402 55346
90  0.141792 3698 94753  0.144612 4721 96899
106  0.233972 4882 152938  0.235655 6299 155893
122  0.359860 6256 231551  0.355984 8131 235412
138  0.515825 7819 333649  0.482647 10216 338542
154  0.731491 9578 462340  0.674174 12560 468364
170  0.981909 11527 620566  0.912239 15160 627945
186  1.294384 13667 811530  1.187717 18014 820348
202  1.659970 16002 1038283  1.550584 21126 1048664
218  2.087430 18529 1304183  1.907771 24494 1315954
234  2.571715 21247 1611443  2.357763 28119 1625293
250  3.137280 24157 1963927  2.880937 31999 1979750
266  3.796647 27344 2366066  3.475968 36135 2382399
282  4.543234 30781 2818842  4.127360 40527 2836311
298  5.391099 34679 3327024  4.872521 45175 3344559
314  6.351832 45648 4018233  5.699269 50079 3910390
330  7.395083 68967 4935796  6.613642 55239 4536764
346  8.578495 95427 10205034  7.673688 60655 5238159
362  9.870324 108255 8917684  8.810415 66328 5988089
378  10.871114 137274 14660707  10.356858 72258 6824935
394  12.265726 154530 46311107  11.268981 78442 7795620
410  13.901396 174705 60937223  12.664730 84882 8796988
426  15.608964 213990 45817750  14.968981 91578 9808662
442  17.712437 237987 69202298  16.029658 98530 10986506
458  19.977049 246147 87311951  17.879695 105738 12236973
474  22.119896 280364 112951551  19.590577 113202 13584626
490  24.433379 300937 141021259  21.617852 120922 15028485
506  27.267225 320863 158684819  23.847998 128898 16543588
522  30.079457 341429 178263844  26.200063 137130 18157834
538  33.664000 362635 195374782  28.674581 145618 19866943
554  36.694204 384481 213306628  31.441259 154362 21679829
570  39.307972 406967 232303434  34.127875 163362 23599787
586  43.066911 430093 252395920  37.148954 172618 25629889
602  47.496270 453859 273614806  40.357095 182130 27773207
618  50.409679 478265 295990812  43.919629 191898 30032813
634  54.579225 503311 319554658  46.984116 201922 32411779
650  59.510518 528997 344337064  51.006474 212202 34913177
666  63.285485 555323 370368750  54.534712 222738 37540079
682  70.452577 582289 397069657  59.395346 233530 40295091
698  73.112087 609895 426147779  62.779698 244578 43182575
714  78.545508 638141 456266688  67.196844 255882 46204529
730  84.883737 667027 487602694  71.772593 267442 49364167
746  89.450780 696553 520341580  77.461028 279258 52664669
762  95.432390 726719 554514066  81.566135 291330 56109107
778  101.952762 757525 590150872  87.801219 303658 59700553
794  108.654483 788971 627282718  92.493917 316242 63442079
810  115.977656 821057 665940324  98.109779 329082 67336757
826  122.806906 853783 706154410  104.329397 342178 71387659
842  129.988519 887149 747955696  110.752100 355530 75597857
858  137.664779 921155 791374902  117.396044 369138 79970423
874  145.935470 955801 836442748  123.338222 383002 84508429
890  155.257923 991087 883189954  130.286674 397122 89214947
906  164.169094 1027013 931647240  137.135043 411499 94093049
922  172.509292 1063579 981845326  144.885037 426131 99145807
938  182.197582 1100785 1033814932  154.993387 441019 104376293
954  191.232415 1138631 1087586778  161.223181 456163 109787579
970  201.112887 1177117 1143191584  169.357155 471563 115382737
986  211.661017 1216243 1200660070  176.843482 487219 121164839
1002  222.646942 1256009 1260022956  186.488428 503131 127136957
1018  233.097375 1296415 1321310962  195.260731 519299 133302163
1034  245.516653 1337461 1384554808  205.558829 535723 139663529
1050  257.426073 1379147 1449785214  214.543039 552415 146224181
1066  270.843606 1421473 1517032900  226.438126 569357 152987123
1082  287.322693 1464439 1586328586  235.062239 586579 159955583
1098  300.156890 1508045 1657702992  246.010116 604071 167132501
1114  311.174584 1552291 1731186838  257.876779 621881 174521206
1130  326.150654 1597177 1806810844  267.359938 639907 182124371
1146  340.521922 1642703 1884605730  278.533674 657977 189944317
1162  355.582119 1688869 1964602216  289.681418 676489 197985873
1178  374.314019 1735675 2046831022  302.940291 695249 206251111
1194  387.894554 1783121 2131322868  314.609917 715838 214764993
1210  404.417352 1831207 2218108474  328.423867 733660 223465810
1226  421.849085 1879933 2307218560  341.284247 753193 232420868
1242  464.214297 1929299 2398683846  379.007820 772954 241612088
1258  459.386508 1979305 2492535052  368.501963 793184 251043580
1274  476.175940 2029951 2588802898  382.011710 813802 260718124
1290  493.711400 2081237 2687518104  421.449288 834385 270635975
1306  515.763672 2133163 2788711390  437.749956 855342 280803160
1322  588.589616 2185729 2892413476  492.604008 876493 291221771
1338  619.958648 2238935 2998655082  505.197353 898117 301896491
1354  654.585582 2292781 3107466928  512.672570 919640 312825335
1370  678.439999 2347267 3218879734  489.586235 941662 324017525
1386  677.237477 2402393 3332924220  557.351052 963943 335472302
1402  694.919904 2458159 3449631106  569.455089 985751 347190697
1418  723.905223 2514565 3569031112  545.073431 1008403 359181935
1434  684.583680 2571611 3691154958  546.675992 1031368 371446430
1450  708.849698 2629297 3816033364  564.667830 1055325 383991329
1466  734.263607 2687623 3943697050  581.129457 1078921 396812810
1482  756.781106 2746589 4074176736  602.548040 1102813 409915020
1498  782.302848 2806195 4207503142  623.437847 1126637 423301903
1514  807.512068 2866441 4343706988  641.693088 1151299 436979736
1530  833.422618 2927327 4482818994  662.105649 1175865 450946887
1546  863.236390 2988853 4624869880  689.009326 1213644 465344016
1562  922.156993 3051019 4769890366
