Tamaño	Serie	"Paralelo 3 4 hilos"
10	0.000009	0.000161
42	0.000563	0.000497
74	0.003066	0.001999
106	0.009169	0.005447
138	0.022422	0.011851
170	0.039818	0.021820
202	0.067297	0.036411
234	0.097887	0.058488
266	0.137511	0.084883
298	0.197546	0.123650
330	0.266779	0.172165
362	0.355517	0.213054
394	0.454667	0.279362
426	0.574399	0.350194
458	0.717033	0.491320
490	0.874975	0.521625
522	1.041007	0.623567
554	1.246485	0.764822
586	1.518703	1.189737
618	1.820956	1.314259
650	2.127322	1.411044
682	2.413793	1.431847
714	2.686530	1.650667
746	3.099286	1.906600
778	3.457495	2.145647
810	3.899232	2.351602
842	4.594854	2.748862
874	4.951270	3.049019
906	5.541983	3.616867
938	6.382089	3.771972
970	7.255930	4.138604
1002	7.470495	4.476824
1034	8.752362	5.647237
